,"
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED"
201520,NS,1,KIN,KIN,200I,36141,Individualized Physical Edu,,,,,,G,Amy Stucky,1,1,5,5,YES,
201520,NS,1,KIN,KIN,492,36124,Internship,,,,,,F,Donald Taylor,4,4,6,6,YES,
201520,NS,1,KIN,KIN,200D,36121,Latin Dance,,,,,,G,KIN Adjunct,1,1,15,15,YES,
201520,NS,1,KIN,KIN,200Z,36144,Athletic Participation,,,,,,G,Scott Stan,1,1,80,80,YES,
201520,NS,1,KIN,KIN,100,36183,Fitness for Life,,,,,,4,KIN Adjunct,1,1,99,99,YES,
201520,NS,1,KIN,KIN,200I,36184,Individualized Physical Edu,,,,,,4,Amy Stucky,1,1,99,99,YES,
201520,NS,1,KIN,KIN,100,36127,Fitness for Life,1100,1150,TR,EAW,108,G,Gregory Wolfe,2,2,25,25,YES,
201520,NS,1,KIN,KIN,250,36149,Elem School Health & Phys Ed,1400,1450,MWF,EAW,108,G,Jeffrey Marsee,2,2,40,40,YES,
201520,NS,1,KIN,KIN,100,36131,Fitness for Life,800,850,MW,EAW,109,G,Bradford Zarges,2,2,25,25,YES,
201520,NS,1,KIN,KIN,302,36152,Lifeguard Training,800,950,F,EAW,109,G,Bradford Zarges,2,2,12,12,YES,
201520,NS,1,KIN,KIN,355,36160,Research Methods,1400,1515,TR,EAW,109,A,Matthew Renfrow,3,3,18,18,YES,
201520,NS,1,KIN,KIN,200SF,36143,Fitness Swimming,800,850,TR,EAW,POOL,G,Bradford Zarges,1,1,16,16,YES,
201520,NS,1,KIN,KIN,302,36152,Lifeguard Training,800,950,F,EAW,POOL,G,Bradford Zarges,0,0,0,0,YES,
201520,NS,1,KIN,KIN,345,36157,Challenge Crse Facilitator Cer,1230,1500,R,KSAC,110 CRT 1,G,KIN Adjunct,0,0,0,0,YES,
201520,NS,H2,KIN,KIN,200M,36177,Challenge Course Adventures,1230,1500,R,KSAC,110 CRT 1,G,KIN Adjunct,0,0,0,0,YES,
201520,NS,H2,KIN,KIN,200S,36179,Soccer,1100,1240,TR,KSAC,110 CRT 2,G,KIN Adjunct,1,1,24,24,YES,
201520,NS,1,KIN,KIN,345,36157,Challenge Crse Facilitator Cer,1230,1500,R,KSAC,110 CRT 2,G,KIN Adjunct,3,3,6,6,YES,
201520,NS,H1,KIN,KIN,200PB,36240,Pickleball,1400,1515,TR,KSAC,110 CRT 2,G,Bruce Pratt,0,0,0,0,YES,
201520,NS,H2,KIN,KIN,200S,36179,Soccer,1100,1240,TR,KSAC,110 CRT 3,G,KIN Adjunct,0,0,0,0,YES,
201520,NS,H1,KIN,KIN,200PB,36240,Pickleball,1400,1515,TR,KSAC,110 CRT 3,G,Bruce Pratt,0,0,0,0,YES,
201520,NS,H2,KIN,KIN,200S,36179,Soccer,1100,1240,TR,KSAC,110 CRT 4,G,KIN Adjunct,0,0,0,0,YES,
201520,NS,H1,KIN,KIN,200PB,36240,Pickleball,1400,1515,TR,KSAC,110 CRT 4,G,Bruce Pratt,0,0,0,0,YES,
201520,NS,H2,KIN,KIN,200RU,36178,Running,800,850,MWF,KSAC,110 TRACK,A,Gregory Wolfe,1,1,18,18,YES,
201520,NS,H2,KIN,KIN,200S,36179,Soccer,1100,1240,TR,KSAC,110 TRACK,G,KIN Adjunct,0,0,0,0,YES,
201520,NS,H2,KIN,KIN,200M,36177,Challenge Course Adventures,1230,1500,R,KSAC,110 TRACK,G,KIN Adjunct,1,1,12,12,YES,
201520,NS,1,KIN,KIN,200AW,36138,Aerobic Walking,1300,1350,MW,KSAC,110 TRACK,G,Amy Stucky,1,1,18,18,YES,
201520,NS,H1,KIN,KIN,200PB,36240,Pickleball,1400,1515,TR,KSAC,110 TRACK,G,Bruce Pratt,1,1,18,18,YES,
201520,NS,1,KIN,KIN,200FN,36139,Functional Fitness,1300,1350,TR,KSAC,111,G,Erik Hayes,1,1,20,20,YES,
201520,NS,H1,KIN,KIN,271,36173,CPR for Healthcare Providers,1400,1450,TR,KSAC,111,G,Jeffrey Marsee,1,1,10,10,YES,
201520,NS,H2,KIN,KIN,271,36180,CPR for Healthcare Providers,1400,1450,TR,OG,201,G,Jeffrey Marsee,1,1,10,10,YES,
201520,NS,1,KIN,KIN,472,36238,Psychology of Coaching,1230,1320,TR,OG,205,A,Donald Taylor,2,2,20,20,YES,
201520,NS,1,KIN,KIN,100,36135,Fitness for Life,800,850,TR,OG,219,G,Gregory Wolfe,2,2,25,25,YES,
201520,NS,1,KIN,KIN,100,36126,Fitness for Life,1100,1150,MW,OG,219,G,Matthew Renfrow,2,2,25,25,YES,
201520,NS,1,KIN,KIN,100,36130,Fitness for Life,1200,1250,MW,OG,219,G,Bruce Pratt,2,2,25,25,YES,
201520,NS,1,KIN,KIN,100,36125,Fitness for Life,1230,1320,TR,OG,219,G,Bruce Pratt,2,2,25,25,YES,
201520,NS,1,KIN,KIN,100,36132,Fitness for Life,1300,1350,MW,OG,219,G,Bruce Pratt,2,2,25,25,YES,
201520,NS,1,KIN,KIN,100,36134,Fitness for Life,1400,1450,MW,OG,219,G,Bruce Pratt,2,2,25,25,YES,
201520,NS,1,KIN,KIN,200J,36142,Acting,1200,1250,T,RUPP,101,G,KIN Adjunct,1,1,20,20,YES,
201520,NS,1,KIN,KIN,200H,36140,Beginning Horsemanship,1700,2000,T,STB,STABLES,G,KIN Adjunct,1,1,10,10,YES,
201520,NS,H2,KIN,KIN,200G,36176,Golf,1200,1450,W,WCG,,G,KIN Adjunct,1,1,12,12,YES,
201510,NS,1,KIN,SMA,393,21384,Practicum,,,,,,P,Gregory Wolfe,1,1,5,5,YES,
201520,NS,1,KIN,SMA,352,36224,Event & Facility Management,1200,1250,MWF,EAW,108,A,Donald Taylor,3,3,20,20,YES,
201520,NS,1,KIN,SMA,480,36225,Seminar in Sport Management,1100,1150,TR,OG,205,S,Donald Taylor,2,2,20,20,YES,
201520,NS,1,KIN,SMA,210,36241,Human Performance Technology,800,850,TR,READE,139,A,Donald Taylor,1,1,20,20,YES,
